,team1,team2,team_lost_score,team_won_score,date_match,event_name,maps_info,map1_played,team_winner_map1,result_map1_played1,result_half_score_map1,team_loser_map1,result_map1_played2,map2_played,team_winner_map2,result_map2_played1,result_half_score_map2,team_loser_map2,result_map2_played2,map3_played,team_winner_map3,result_map3_played1,result_half_score_map3,team_loser_map3,result_map3_played2,player1_team1,kd_player1_team1,adr_player1_team1,kast_player1_team1,rating_player1_team1,player2_team1,kd_player2_team1,adr_player2_team1,kast_player2_team1,rating_player2_team1,player3_team1,kd_player3_team1,adr_player3_team1,kast_player3_team1,rating_player3_team1,player4_team1,kd_player4_team1,adr_player4_team1,kast_player4_team1,rating_player4_team1,player5_team1,kd_player5_team1,adr_player5_team1,kast_player5_team1,rating_player5_team1,player1_team2,kd_player1_team2,adr_player1_team2,kast_player1_team2,rating_player1_team2,player2_team2,kd_player2_team2,adr_player2_team2,kast_player2_team2,rating_player2_team2,player3_team2,kd_player3_team2,adr_player3_team2,kast_player3_team2,rating_player3_team2,player4_team2,kd_player4_team2,adr_player4_team2,kast_player4_team2,rating_player4_team2,player5_team2,kd_player5_team2,adr_player5_team2,kast_player5_team2,rating_player5_team2
0,Astralis,Virtus.pro,1,2,29th of January 2017,ELEAGUE Major 2017,"Best of 3

* Grand final",Nuke,Virtus.pro,12,(6:9; 6:7),Astralis,16,Overpass,Astralis,16,(9:6; 7:8),Virtus.pro,14,Train,Astralis,16,(6:9; 10:5),Astralis,14,Markus 'Kjaerbye' Kjærbye,73-54,95.2,77.3%,1.38,Peter 'dupreeh' Rasmussen,62-65,78.5,71.6%,1.01,Andreas 'Xyp9x' Højsleth,61-64,79.9,64.8%,1.01,Lukas 'gla1ve' Rossander,56-61,69.4,65.9%,0.95,Nicolai 'device' Reedtz,48-55,59.8,64.8%,0.89,Janusz 'Snax' Pogorzelski,75-57,82.1,70.5%,1.24,Paweł 'byali' Bieliński,68-59,86.4,69.3%,1.15,Wiktor 'TaZ' Wojtas,57-61,73.4,70.5%,1.04,Filip 'NEO' Kubski,45-59,75.2,65.9%,0.95,Jarosław 'pashaBiceps' Jarząbkowski,53-65,67.2,67.0%,0.87
1,Virtus.pro,SK,0,2,28th of January 2017,ELEAGUE Major 2017,"Best of 3

* Semi-final

* Starting time is approximate, the match will start after the previous one is finished",Train,Virtus.pro,19,(10:5; 5:10) (4:2),SK,17,Cobblestone,Virtus.pro,16,(6:9; 10:5),SK,14,Overpass,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,Wiktor 'TaZ' Wojtas,52-39,72.0,72.7%,1.17,Janusz 'Snax' Pogorzelski,48-41,75.0,74.2%,1.12,Jarosław 'pashaBiceps' Jarząbkowski,46-43,71.9,62.1%,1.06,Filip 'NEO' Kubski,39-41,70.2,69.7%,1.02,Paweł 'byali' Bieliński,38-47,70.2,72.7%,0.97,Marcelo 'coldzera' David,52-42,79.1,66.7%,1.11,Ricardo 'fox' Pacheco,45-42,79.3,66.7%,1.05,Gabriel 'FalleN' Toledo,41-39,68.9,65.2%,1.01,Epitacio 'TACO' de Melo,39-50,60.6,69.7%,0.86,Fernando 'fer' Alvarenga,34-50,60.3,60.6%,0.78
2,Astralis,fnatic,0,2,28th of January 2017,ELEAGUE Major 2017,"Best of 3

* Semi-final",Cache,Astralis,19,(9:6; 6:9) (4:1),fnatic,16,Nuke,Astralis,16,(12:3; 4:2),fnatic,5,Dust2,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,Peter 'dupreeh' Rasmussen,48-37,93.3,76.8%,1.38,Nicolai 'device' Reedtz,49-32,83.7,75.0%,1.37,Markus 'Kjaerbye' Kjærbye,46-37,83.5,75.0%,1.31,Andreas 'Xyp9x' Højsleth,45-32,76.3,78.6%,1.24,Lukas 'gla1ve' Rossander,35-37,78.9,67.9%,1.05,Freddy 'KRIMZ' Johansson,54-44,99.5,66.1%,1.19,Joakim 'disco doplan' Gidetun,31-42,70.0,67.9%,0.86,Simon 'twist' Eliasson,30-42,64.9,62.5%,0.80,Olof 'olofmeister' Kajbjer,32-48,67.1,58.9%,0.70,Dennis 'dennis' Edman,28-47,55.5,58.9%,0.68
3,FaZe,SK,1,2,28th of January 2017,ELEAGUE Major 2017,"Best of 3

* Quarter-final",Mirage,FaZe,16,(12:3; 4:4),SK,7,Train,SK,3,(3:12; 0:4),FaZe,16,Overpass,SK,5,(5:10; 0:6),SK,16,Fabien 'kioShiMa' Fiey,40-47,81.0,63.5%,1.00,Philip 'aizy' Aistrup,33-52,61.6,61.9%,0.83,Aleksi 'allu' Jalli,36-47,61.5,66.7%,0.81,Finn 'karrigan' Andersen,40-51,65.4,57.1%,0.75,Håvard 'rain' Nygaard,32-53,66.7,57.1%,0.71,Fernando 'fer' Alvarenga,68-44,113.6,81.0%,1.60,Gabriel 'FalleN' Toledo,48-39,84.0,77.8%,1.30,Ricardo 'fox' Pacheco,44-32,77.6,82.5%,1.28,Marcelo 'coldzera' David,46-31,72.1,73.0%,1.19,Epitacio 'TACO' de Melo,43-37,74.8,81.0%,1.18
4,Virtus.pro,North,1,2,28th of January 2017,ELEAGUE Major 2017,"Best of 3

* Quarter-final

* Starting time is approximate, the match will start after the previous one is finished",Overpass,Virtus.pro,16,(14:1; 2:3),North,4,Cache,North,12,(6:9; 6:7),Virtus.pro,16,Cobblestone,Virtus.pro,16,(3:12; 13:1),Virtus.pro,13,Jarosław 'pashaBiceps' Jarząbkowski,71-46,91.7,68.8%,1.44,Janusz 'Snax' Pogorzelski,63-47,86.6,74.0%,1.28,Filip 'NEO' Kubski,52-51,77.1,68.8%,1.03,Wiktor 'TaZ' Wojtas,39-49,61.5,62.3%,0.85,Paweł 'byali' Bieliński,39-51,58.7,63.6%,0.81,Emil 'Magisk' Reif,71-53,98.9,70.1%,1.30,René 'cajunb' Borg,45-46,72.8,72.7%,1.05,Kristian 'k0nfig' Wienecke,44-55,64.8,59.7%,0.86,Ruben 'RUBINO' Villarroel,43-51,58.5,72.7%,0.86,Mathias 'MSL' Lauridsen,40-59,62.3,61.0%,0.80
5,fnatic,Gambit,1,2,27th of January 2017,ELEAGUE Major 2017,"Best of 3

* Quarter-final

* Starting time is approximate, the match will start after the previous one is finished",Cache,fnatic,16,(10:5; 6:2),Gambit,7,Overpass,Gambit,3,(3:12; 0:4),fnatic,16,Dust2,fnatic,16,(9:6; 7:1),fnatic,7,Simon 'twist' Eliasson,56-36,93.6,66.2%,1.29,Olof 'olofmeister' Kajbjer,43-43,74.8,72.3%,1.07,Dennis 'dennis' Edman,45-50,80.1,72.3%,1.06,Freddy 'KRIMZ' Johansson,40-40,68.8,72.3%,1.01,Joakim 'disco doplan' Gidetun,40-42,63.1,72.3%,0.98,Abay 'Hobbit' Khasenov,50-43,82.3,70.8%,1.15,Rustem 'mou' Telepov,47-40,75.2,64.6%,1.09,Dauren 'AdreN' Kystaubayev,48-44,78.9,72.3%,1.08,Danylo 'Zeus' Teslenko,35-47,68.9,60.0%,0.85,Mihail 'Dosia' Stolyarov,30-51,59.7,63.1%,0.75
6,Natus Vincere,Astralis,1,2,27th of January 2017,ELEAGUE Major 2017,"Best of 3

* Quarter-final",Overpass,Astralis,7,(3:12; 4:4),Natus Vincere,16,Mirage,Natus Vincere,16,(9:6; 7:8),Astralis,14,Dust2,Astralis,10,(8:7; 2:9),Astralis,16,Aleksandr 's1mple' Kostyliev,54-54,74.9,73.4%,1.05,Ladislav 'GuardiaN' Kovács,53-56,73.9,70.9%,1.03,Denis 'seized' Kostin,51-57,73.0,70.9%,1.01,Egor 'flamie' Vasilyev,59-61,83.1,65.8%,0.98,Ioann 'Edward' Sukhariev,40-55,61.6,58.2%,0.79,Nicolai 'device' Reedtz,73-56,96.8,75.9%,1.38,Markus 'Kjaerbye' Kjærbye,56-52,74.1,69.6%,1.11,Andreas 'Xyp9x' Højsleth,51-48,80.0,75.9%,1.11,Lukas 'gla1ve' Rossander,52-46,73.7,70.9%,1.10,Peter 'dupreeh' Rasmussen,51-55,70.4,65.8%,0.97
7,Liquid,Astralis,3,16,26th of January 2017,ELEAGUE Major 2017,"Best of 1

* Starting time is approximate, the match will start after the previous one is finished",Mirage,Astralis,3,(3:12; 0:4),Liquid,16,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,Nick 'nitr0' Cannella,7-17,49.6,52.6%,0.65,Spencer 'Hiko' Martin,10-18,63.0,42.1%,0.55,Josh 'jdm64' Marzano,6-16,53.5,57.9%,0.51,Jacob 'Pimp' Winneche,8-18,41.8,42.1%,0.45,Jonathan 'EliGE' Jablonowski,7-19,56.4,47.4%,0.41,Nicolai 'device' Reedtz,29-6,149.3,94.7%,2.41,Markus 'Kjaerbye' Kjærbye,24-7,106.7,89.5%,1.87,Peter 'dupreeh' Rasmussen,18-7,90.9,89.5%,1.64,Lukas 'gla1ve' Rossander,11-9,81.4,78.9%,1.13,Andreas 'Xyp9x' Højsleth,6-9,44.6,78.9%,0.80
8,FaZe,Envy,11,16,26th of January 2017,ELEAGUE Major 2017,"Best of 1

* Starting time is approximate, the match will start after the previous one is finished",Nuke,FaZe,16,(9:6; 7:5),Envy,11,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,Aleksi 'allu' Jalli,30-15,103.5,85.2%,1.63,Håvard 'rain' Nygaard,18-16,82.7,74.1%,1.23,Fabien 'kioShiMa' Fiey,16-17,88.0,77.8%,1.17,Finn 'karrigan' Andersen,20-16,69.9,77.8%,1.12,Philip 'aizy' Aistrup,19-16,67.8,66.7%,1.08,Kenny 'kennyS' Schrub,28-15,91.2,66.7%,1.43,Nathan 'NBK-' Schmitt,14-22,63.3,63.0%,0.75,Vincent 'Happy' Schopenhauer,17-20,56.1,55.6%,0.74,Dan 'apEX' Madesclaire,12-24,61.0,48.1%,0.71,Christophe 'SIXER' Xia,9-23,59.4,70.4%,0.68
9,North,GODSENT,17,19,26th of January 2017,ELEAGUE Major 2017,"Best of 1

* Starting time is approximate, the match will start after the previous one is finished",Overpass,North,19,(7:8; 8:7) (4:2),GODSENT,17,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,Ruben 'RUBINO' Villarroel,35-23,95.6,86.1%,1.39,Emil 'Magisk' Reif,35-27,98.4,69.4%,1.32,Kristian 'k0nfig' Wienecke,27-24,81.1,75.0%,1.18,René 'cajunb' Borg,20-25,64.5,58.3%,0.91,Mathias 'MSL' Lauridsen,13-30,48.9,52.8%,0.57,Jonas 'Lekr0' Olofsson,34-24,101.7,83.3%,1.42,Jesper 'JW' Wecksell,30-25,82.2,69.4%,1.30,Andreas 'znajder' Lindberg,27-25,83.3,75.0%,1.13,Robin 'flusha' Rönnquist,28-27,83.2,61.1%,1.04,Markus 'pronax' Wallsten,10-30,48.8,61.1%,0.55
